,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,63,45,80,64,71,58,28,S. Romero
2,62,55,82,85,67,57,34,W. Caballero
3,62,40,78,60,55,65,29,N. Guzmán
4,77,62,86,84,81,67,25,M. Rojo
5,71,68,87,90,71,62,27,N. Otamendi
6,69,64,80,80,77,69,28,F. Roncaglia
7,75,61,89,90,70,59,35,M. Demichelis
8,73,62,78,70,81,71,29,C. Ansaldi
9,76,63,76,78,75,75,30,P. Zabaleta
10,87,63,76,73,69,76,29,L. Biglia
11,88,61,84,92,81,68,31,J. Mascherano
12,86,75,78,68,73,82,27,�?. Banega
13,83,79,73,57,85,88,27,Nico Gaitán
14,84,72,76,74,78,83,29,Enzo Pérez
15,77,73,77,65,82,80,24,R. Pereyra
16,86,76,75,55,76,87,26,J. Pastore
17,78,70,83,57,80,84,30,E. Lavezzi
18,81,75,64,57,88,87,27,A. Di María
19,81,73,56,50,80,87,23,E. Lamela
20,84,94,94,42,86,96,28,L. Messi
21,83,86,88,62,82,87,31,C. Tévez
22,81,88,84,53,82,84,28,G. Higuaín
23,83,90,88,48,87,90,27,S. Agüero
,77.82608696,69.34782609,79.65217391,67.56521739,77.26086957,76.60869565,28.34782609,
