,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,60,45,84,70,70,55,23,M. Ryan
2,55,45,80,70,68,54,27,M. Langerak
3,55,45,85,70,66,50,34,E. GalekoviÄ?
4,68,80,82,73,70,71,27,M. SpiranoviÄ?
5,75,52,76,69,76,63,23,T. Sainsbury
6,68,50,76,72,65,66,31,A. Wilkinson
7,61,54,65,70,72,66,24,J. Davidson
8,68,57,76,66,80,67,25,A. Behich
9,69,62,77,74,76,72,28,I. FranjiÄ?
10,75,62,79,75,75,63,30,M. Milligan
11,76,66,87,84,69,69,31,M. Jedinak
12,64,60,75,74,75,65,26,C. Herd
13,71,69,72,66,68,65,22,T. Antonis
14,75,60,74,65,77,72,23,Luongo
15,76,72,75,68,73,75,35,M. Bresciano
16,73,69,77,53,75,73,27,J. Troisi
17,76,72,76,68,74,71,32,M. McKay
18,72,68,76,61,89,77,24,M. Leckie
19,75,73,80,64,66,78,36,T. Cahill
20,66,64,75,49,78,78,24,T. Oar
21,72,76,74,60,84,79,27,R. Kruse
22,69,68,74,44,76,71,24,T. Juric
23,67,71,78,56,80,69,27,N. Burns
,68.95652174,62.60869565,77.08695652,66.13043478,74,68.2173913,27.39130435,
