,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,65,45,88,57,73,58,23,T. Courtois
2,55,43,86,57,62,45,27,S. Mignolet
3,64,40,74,67,70,58,36,J. F. Gillet
4,80,59,83,83,70,65,26,T. Alderweireld
5,78,54,88,82,75,59,30,N. Lombaerts
6,83,60,93,91,77,71,29,V. Kompany
7,81,61,83,86,75,67,28,J. Vertonghen
8,71,52,79,79,71,65,20,Denayer
9,77,55,80,86,70,62,30,T. Vermaelen
10,68,57,79,75,70,65,25,D. Boyata
11,85,70,86,72,71,85,26,A. Witsel
12,78,76,88,70,75,75,28,M. Fellaini
13,83,75,80,80,77,76,27,R. Nainggolan
14,88,85,83,57,89,93,24,E. Hazard
15,76,84,81,57,83,81,26,N. Chadli
16,72,64,80,59,76,75,24,Meunier
17,88,81,81,54,78,86,24,K. de Bruyne
18,82,82,73,59,85,87,28,D. Mertens
19,76,78,77,57,83,84,28,K. Mirallas
20,72,84,90,55,85,77,25,C. Benteke
21,75,76,76,54,85,78,20,D. Origi
22,59,79,87,43,68,63,27,Depoitre
23,74,82,90,47,86,80,22,R. Lukaku
,75.2173913,67.04347826,82.82608696,66.39130435,76.26086957,71.95652174,26.2173913,
