,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,60,46,83,58,65,55,32,Jefferson
2,55,45,82,62,67,55,30,D. Alves
3,53,40,75,56,74,44,25,Rafael Cabral
4,76,61,83,90,78,69,31,J. Miranda
5,77,64,88,84,80,80,28,D. Luiz
6,79,58,81,83,81,67,21,M. Marquinhos
7,80,62,86,95,79,72,31,T. Silva
8,77,61,76,80,86,77,30,F. Luís
9,80,74,80,81,82,83,27,Marcelo
10,80,69,82,74,87,79,24,Danilo
11,77,56,81,83,83,71,25,Mário Fernandes
12,82,59,85,90,72,76,28,Luiz Gustavo
13,85,69,75,75,83,80,30,Fernandinho
14,78,73,72,70,81,75,30,Elias
15,83,75,63,59,87,89,27,Willian
16,81,70,74,59,87,90,25,D. Costa
17,87,77,75,60,79,86,24,Oscar
18,77,80,75,54,82,86,24,Roberto Firmino
19,87,72,57,50,76,89,23,P. Coutinho
20,75,66,71,50,76,85,31,Robinho
21,82,90,76,48,88,94,23,Neymar
22,75,78,74,51,85,82,30,Diego Tardelli
23,69,82,77,51,79,79,28,Luiz Adriano
,76.30434783,66.39130435,77,67.95652174,79.86956522,76.65217391,27.26086957,
