,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,55,43,84,57,55,46,27,D. Ospina
2,63,45,82,65,71,54,26,C. Vargas
3,70,61,86,82,77,60,29,C. Zapata
4,67,57,81,73,77,65,30,C. Valdés
5,67,55,81,75,75,72,22,E. �?lvarez
6,72,58,77,78,72,70,23,J. Murillo
7,73,50,70,60,86,75,29,P. Armero
8,74,65,79,70,87,81,30,J. C. Zuniga
9,75,66,72,70,84,78,23,S. Arias
10,74,60,79,85,74,63,27,A. Mejía
11,77,55,81,75,75,72,29,C. Sánchez
12,79,64,76,72,76,76,30,A. Aguilar
13,80,74,87,64,77,82,29,F. Guarín
14,78,73,78,56,78,76,25,C. Carbonero
15,78,75,73,57,85,86,27,J. Cuadrado
16,85,85,78,60,81,86,24,J. Rodríguez
17,80,73,70,61,79,81,22,Quintero
18,68,66,80,54,88,81,25,V. Ibarbo
19,71,85,75,55,73,79,29,R. Falcao
20,74,90,80,52,84,76,29,C. Bacca
21,81,80,77,41,70,82,30,Teo
22,74,84,83,45,83,76,29,A. Ramos
23,75,87,87,49,85,77,29,Jackson M.
,73.47826087,67.43478261,78.95652174,63.30434783,77.91304348,73.65217391,27.08695652,
