,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,72,51,85,76,72,65,29,K. Navas
2,51,48,78,70,68,59,33,P. Pemberton
3,59,44,73,70,71,55,26,E. Alvarado
4,60,56,77,71,71,60,32,J. Acosta
5,71,59,75,85,74,66,27,G. González
6,63,56,72,68,67,59,33,M. Umaña
7,65,57,78,73,69,63,26,�?. Duarte
8,71,59,70,72,77,72,32,J. Díaz
9,65,59,79,60,75,70,31,R. Miller
10,68,64,74,63,75,75,25,B. Oviedo
11,60,58,75,60,80,55,27,D. Myrie
12,64,54,61,66,90,65,26,C. Gamboa
13,77,63,75,75,75,71,23,Y. Tejeda
14,79,74,77,69,68,70,27,C. Borges
15,66,59,72,58,72,60,23,Juan Bustos
16,71,54,68,68,63,58,28,J. Cubero
17,71,59,70,58,77,69,27,J. Venegas
18,77,67,69,51,72,76,32,M. Barrantes
19,74,69,75,58,89,77,23,J. Campbell
20,80,72,76,65,71,83,30,Bryan Ruiz
21,65,69,77,46,90,74,21,J. Ruíz
22,64,65,79,56,79,73,22,D. Ramírez
23,65,74,78,49,74,72,33,A. Saborío
,67.73913043,60.43478261,74.47826087,64.65217391,74.73913043,67.26086957,27.65217391,
