,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,63,40,74,69,68,60,28,I. VargiÄ?
2,63,40,74,70,68,60,25,L. KaliniÄ?
3,65,45,84,73,73,61,31,D. SubaÅ¡iÄ?
4,73,56,85,73,70,67,29,V. Ä?orluka
5,68,57,77,70,67,58,24,M. LeÅ¡koviÄ?
6,72,62,77,78,79,67,26,Vida
7,66,52,70,77,69,64,27,M. Leovac
8,72,78,71,61,73,71,26,PivariÄ?
9,73,63,73,69,78,72,23,Å . Vrsaljko
10,82,70,77,68,75,72,33,D. Srna
11,84,62,78,68,70,79,26,M. Badelj
12,76,66,75,56,71,70,34,D. PranjiÄ?
13,91,74,74,65,83,86,30,L. ModriÄ?
14,77,71,73,71,75,72,23,M. BrozoviÄ?
15,86,69,75,60,76,85,21,M. KovaÄ?iÄ?
16,89,80,73,61,71,81,27,I. RakitiÄ?
17,75,78,76,62,82,80,26,I. PeriÅ¡iÄ?
18,68,76,67,56,71,72,20,M. Pjaca
19,70,76,79,56,77,74,24,A. KramariÄ?
20,67,75,79,48,72,70,22,A. RebiÄ?
21,73,79,83,49,75,74,27,N. KaliniÄ?
22,79,84,89,62,78,78,29,M. MandÅ¾ukiÄ?
23,70,82,84,64,78,69,36,I. OliÄ?
,74,66.73913043,76.82608696,64.60869565,73.86956522,71.39130435,26.82608696,
