,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,68,53,81,56,70,59,29,K. Schmeichel
2,61,45,83,42,67,57,34,S. Andersen
3,43,40,82,58,58,40,30,J. Hansen
4,77,52,83,85,72,55,26,S. Kjær
5,76,66,88,82,75,65,31,D. Agger
6,71,63,86,81,70,72,27,A. Bjelland
7,78,56,72,75,74,70,26,K. Hansen
8,74,55,81,75,77,82,23,N. Boilesen
9,76,65,80,70,82,76,31,S. Poulsen
10,73,63,77,74,70,68,25,P. Ankersen
11,73,57,83,79,70,65,36,L. Jacobsen
12,79,53,81,77,66,61,30,W. Kvist
13,81,70,74,75,71,71,32,M. Krohn-Dehli
14,73,67,78,47,74,67,32,J. Poulsen
15,78,61,78,75,69,72,20,P. Højbjerg
16,84,73,62,58,78,84,23,C. Eriksen
17,82,76,78,58,74,79,29,L. Schöne
18,77,76,70,50,69,73,32,Kahlenberg
19,67,75,76,50,83,74,22,U. Bech
20,72,75,76,51,86,79,24,M. Braithwaite
21,72,80,84,54,68,70,27,N. Bendtner
22,69,71,76,56,83,73,21,Y. Poulsen
23,70,75,74,57,82,73,28,L. Vibe
,72.7826087,63.7826087,78.39130435,64.56521739,73.39130435,68.91304348,27.73913043,
