,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,55,40,71,56,60,51,42,El Hadry
2,60,45,72,56,64,55,24,A. El Shenawy
3,60,48,70,56,60,55,32,S. Ekramy
4,64,50,82,76,62,57,24,A. Hegazy
5,62,52,82,73,66,60,32,M. Nagieb
6,66,57,68,70,72,61,28,S. Raheel
7,68,52,69,61,70,71,23,O. Gaber
8,67,58,68,68,72,69,31,A. Fathy
9,66,57,65,70,70,67,28,S. El Said
10,76,54,84,74,75,67,23,A. Ghazal
11,79,68,75,72,74,76,23,M. Elneny
12,71,62,73,67,69,69,25,A. Al Sulaya
13,70,61,71,68,70,66,28,I. Salah
14,74,66,72,56,71,69,31,H. Rabo
15,74,70,78,69,70,71,34,H. Ghaly
16,73,60,74,73,79,75,28,A. Elmohamady
17,70,69,63,45,76,74,25,A. Hamoudi
18,73,65,74,48,77,71,29,Shikabala
19,71,69,65,58,70,69,31,W. Soliman
20,76,79,73,53,94,87,23,M. Salah
21,65,75,72,58,75,69,32,Gedo
22,67,71,79,56,77,73,32,E. Moteab
23,64,73,73,56,72,68,24,A. Gamal
,68.30434783,60.91304348,72.73913043,62.56521739,71.52173913,67.39130435,28.34782609,
