,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,54,44,85,85,74,50,28,J. Hart
2,60,44,74,56,69,52,22,J. Butland
3,46,45,79,63,62,44,29,T. Heaton
4,70,64,85,86,78,65,30,G. Cahill
5,71,60,86,83,80,72,26,C. Smalling
6,76,63,85,81,81,74,23,P. Jones
7,71,65,86,84,74,72,33,P. Jagielka
8,75,54,76,77,85,81,20,L. Shaw
9,78,62,71,81,84,78,26,K. Gibbs
10,75,52,74,72,82,69,26,R. Bertrand
11,75,56,76,72,87,77,24,N. Clyne
12,77,66,72,73,82,79,26,F. Delph
13,81,74,80,72,79,82,22,R. Barkley
14,83,72,81,74,76,80,29,J. Milner
15,77,70,70,56,89,86,22,A. Chamberlain
16,71,65,65,54,89,83,24,A. Townsend
17,80,70,79,60,68,73,23,J. Shelvey
18,85,78,75,51,93,89,21,R. Sterling
19,79,85,84,59,77,79,30,W. Rooney
20,84,74,70,61,68,86,27,A. Lallana
21,79,83,59,50,96,81,26,T. Walcott
22,73,82,81,54,77,77,22,H. Kane
23,67,83,78,58,85,80,28,J. Vardy
,73.34782609,65.69565217,77,67.91304348,79.7826087,74.30434783,25.52173913,
