,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,47,42,86,57,63,45,29,H. Lloris
2,59,45,84,74,76,52,30,S. Mandanda
3,72,48,85,61,73,61,28,B. Costil
4,78,51,83,89,83,67,22,R. Varane
5,82,49,95,86,68,60,25,M. Sakho
6,75,62,85,82,82,76,24,E. Mangala
7,81,55,81,92,82,68,30,L. Koscielny
8,74,60,78,73,84,80,34,P. Evra
9,84,61,77,80,84,75,30,B. Trémoulinas
10,78,64,75,71,78,73,32,C. Jallet
11,76,56,76,80,80,74,32,B. Sagna
12,82,80,81,75,77,81,30,Lassana Diarra
13,84,65,82,83,76,74,26,M. Schneiderlin
14,84,72,78,72,74,76,29,Y. Cabaye
15,79,70,84,81,86,82,22,G. Kondogbia
16,85,63,80,85,88,73,28,B. Matuidi
17,80,73,88,68,80,80,26,M. Sissoko
18,84,80,86,73,79,88,22,P. Pogba
19,81,75,76,53,80,81,31,M. Valbuena
20,80,86,76,69,84,81,24,A. Griezmann
21,83,87,93,47,63,74,29,O. Giroud
22,78,79,76,49,81,80,20,A. Martial
23,76,85,78,50,85,84,24,A. Lacazette
,77.47826087,65.56521739,81.86956522,71.73913043,78.52173913,73.26086957,27.26086957,
