,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,83,56,95,71,84,80,29,M. Neuer
2,59,45,85,71,70,57,26,R. R. Zieler
3,68,56,84,56,70,58,23,M. ter Stegen
4,72,54,84,89,79,68,23,S. Mustafi
5,81,67,92,85,74,75,27,M. Hummels
6,75,70,82,75,71,74,21,M. Ginter
7,75,61,89,88,85,69,27,J. Boateng
8,74,60,74,71,77,77,25,J. Hector
9,76,56,84,71,79,77,21,E. Can
10,78,61,74,62,70,76,25,S. Rudy
11,91,79,82,74,67,83,31,Schweinsteiger
12,93,80,79,74,72,85,25,T. Kroos
13,77,66,77,79,72,78,24,C. Kramer
14,85,74,76,62,81,82,25,I. Gündo�?an
15,76,77,79,65,79,83,23,K. Volland
16,76,83,75,53,85,86,25,K. Bellarabi
17,90,76,60,44,72,89,27,M. �?zil
18,88,84,75,53,77,89,23,M. Götze
19,76,80,73,43,86,81,25,A. Schürrle
20,75,86,81,57,79,79,30,L. Podolski
21,84,87,74,48,92,89,26,M. Reus
22,83,91,74,65,85,80,26,T. Müller
23,83,80,77,48,77,80,27,M. Kruse
,79.04347826,70.82608696,79.34782609,65.39130435,77.52173913,78.04347826,25.39130435,
