,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,58,40,73,73,59,60,31,H. Halldorsson
2,60,40,73,65,59,63,26,O. Kristinsson
3,48,40,79,75,68,50,40,Gunnleifsson
4,67,45,71,78,69,61,29,H. Jonasson
5,68,62,79,70,67,50,31,Ottesen
6,66,54,79,76,70,48,29,R. Sigurðsson
7,65,54,67,68,74,68,25,K. Jónsson
8,68,62,81,66,74,67,31,Sævarsson
9,68,65,67,69,67,69,32,O. Skulason
10,74,58,76,65,67,65,28,A. Skulason
11,74,63,75,70,74,67,27,B. Bjarnason
12,74,63,68,67,61,69,33,K. �?rnason
13,80,63,83,62,73,72,31,E. Hallfreðsson
14,74,62,74,72,74,70,26,A. Gunnarsson
15,70,62,77,68,65,67,28,T. Bjarnason
16,84,80,71,61,75,82,26,G. Sigurðsson
17,69,62,75,50,78,75,27,R. Gíslason
18,83,79,79,59,63,82,37,Gudjohnsen
19,73,70,74,54,80,75,25,J. Gudmundsson
20,75,78,85,57,78,78,25,K. Sigthórsson
21,70,77,78,54,75,75,26,A. Finnbogason
22,69,74,76,62,80,68,23,J. Böðvarsson
23,67,74,76,59,76,68,25,V. Kjartansson
,69.73913043,62.04347826,75.47826087,65.2173913,70.69565217,67.34782609,28.73913043,
