,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,55,45,82,70,67,53,27,Mesrdashti
2,56,45,82,59,64,51,27,A. Haghighi
3,60,40,72,67,71,49,23,Beiranvand
4,66,56,73,66,72,65,33,Hosseini
5,65,53,75,65,72,63,34,Sadeghi
6,68,57,74,73,72,59,23,M. Pouraliganji
7,64,59,73,61,72,60,28,Pouladi
8,66,45,66,58,80,67,32,Heydari
9,66,57,74,66,70,60,28,M. Shackleton
10,66,57,74,66,72,61,25,O. Knolles
11,61,50,72,66,68,60,24,Khanzadeh
12,72,60,76,68,76,70,28,Ebanrem
13,72,68,80,67,70,70,35,J. Nekounam
14,73,66,72,67,70,71,32,A. Teymourian
15,66,60,71,61,72,66,25,Hajsafi
16,66,62,75,55,74,65,31,Shojaei
17,75,70,78,48,80,83,29,Dejagah
18,68,66,70,56,74,69,27,V. Amiri
19,70,73,75,52,80,76,22,A. Jahanbakhsh
20,66,66,65,43,74,67,25,S. Rafiei
21,67,72,72,48,75,70,25,K. Ansarifard
22,65,69,73,44,77,74,28,Ghoochannejhad
23,62,69,70,48,76,65,20,Sardar Azmoun
,65.86956522,59.34782609,73.65217391,59.73913043,72.95652174,64.95652174,27.43478261,
