,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,60,50,79,70,74,58,32,Kawashima
2,74,45,72,60,72,68,29,S. Nishikawa
3,70,45,76,70,71,58,26,Gonda
4,69,64,70,77,69,69,28,Morishige
5,70,65,74,74,71,70,32,Y. Konno
6,67,65,73,68,75,67,23,G. Shoji
7,67,46,79,78,76,65,27,M. Yoshida
8,68,71,74,69,74,71,27,T. Shiotani
9,71,71,71,62,74,73,28,Ota
10,75,61,72,73,83,70,29,Y. Nagatomo
11,73,63,74,77,75,72,27,Uchida
12,73,71,76,68,75,75,24,G. Sakai
13,68,68,74,72,71,70,29,Aoyama
14,75,68,69,65,74,74,23,G. Shibasaki
15,81,72,79,78,77,78,31,Hasebe
16,79,76,73,71,71,79,35,Y. Endo
17,75,70,74,53,82,78,23,Y. Muto
18,80,73,72,58,74,79,29,K. Honda
19,81,72,70,53,79,87,27,Inui
20,85,81,84,61,76,86,26,Kagawa
21,81,73,75,57,76,82,26,Kiyotake
22,72,79,79,68,77,77,29,Okazaki
23,71,73,82,57,78,69,30,Y. Toyoda
,73.26086957,66.17391304,74.82608696,66.91304348,74.95652174,72.82608696,27.82608696,
