,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,60,48,78,56,66,54,30,S. R. Jung
2,55,45,81,70,69,52,25,Kim Seung Gyu
3,56,45,78,77,68,60,28,Kim Jin Hyun
4,65,58,78,77,70,65,30,C. S. Kim
5,58,50,75,70,78,62,27,Kim Ju-Young
6,62,56,85,70,68,56,34,T. H. Kwak
7,68,58,78,71,78,62,25,Y. G. Kim
8,63,47,74,70,69,59,24,Jang Hyun Soo
9,73,46,71,73,84,78,23,Kim Jin Su
10,74,42,77,62,82,69,28,Park Joo Ho
11,69,52,79,70,83,67,35,D. R. Cha
12,63,66,61,64,76,63,25,M. J. Lee
13,67,43,79,68,73,65,25,Han Kook Young
14,82,70,76,64,72,76,26,S. Ki
15,65,46,73,69,72,63,25,Kim Min Woo
16,63,56,69,59,70,64,26,Cho Young Cheol
17,63,64,78,58,76,72,24,Nam Tae Hee
18,75,64,77,56,76,76,27,C. Y. Lee
19,77,68,77,56,74,81,26,Koo Ja Cheol
20,68,70,65,52,75,73,25,K.W. Han
21,75,79,77,56,87,85,23,Son Heung Min
22,62,66,79,50,89,68,30,Lee Keun Ho
23,63,69,77,56,68,66,24,Lee Jeong Hyeop
,66.34782609,56.86956522,75.73913043,64.08695652,74.91304348,66.7826087,26.73913043,
