,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,61,50,78,60,69,60,24,Y. Bounou
2,52,45,79,70,73,53,27,A. Zniti
3,68,59,88,92,75,66,28,M. Benatia
4,69,58,82,76,71,64,30,A. Kantari
5,71,62,81,82,68,64,26,Z. Feddal
6,67,58,82,73,69,60,29,El Adoua
7,69,61,75,70,79,72,23,A. Lazaar
8,63,56,76,69,75,61,29,A. Achchakir
9,82,64,76,75,68,79,30,K. El Ahmadi
10,82,65,68,64,69,70,32,M. Obbadi
11,69,59,75,61,84,74,26,Z. Bergdich
12,83,75,75,58,76,80,25,Belhanda
13,74,62,78,58,78,80,25,O. El Kaddouri
14,82,72,68,40,75,85,31,M. Boussoufa
15,74,73,77,51,81,80,26,A. Barrada
16,72,68,86,55,87,80,28,N. Amrabat
17,69,65,69,42,84,85,27,O. Assaidi
18,73,69,74,50,77,81,22,Z. Labyad
19,77,64,73,50,86,81,29,N. Dirar
20,79,75,80,66,70,73,31,M. Chamakh
21,69,77,67,62,73,74,25,A. Hamdallah
22,73,77,82,58,74,79,28,Y. El-Arabi
23,69,67,79,56,77,70,30,M. Iajour
,71.60869565,64.39130435,76.86956522,62.52173913,75.56521739,72.65217391,27.43478261,
