,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,58,43,79,74,68,56,33,Talavera
2,56,45,80,56,73,58,30,G. Ochoa
3,60,40,79,76,69,60,28,J. Domínguez
4,76,58,82,79,68,58,27,H. Moreno
5,69,63,78,84,68,63,36,R. Márquez
6,71,55,68,79,75,69,23,Reyes
7,70,66,62,78,92,67,27,M. Layún
8,62,51,90,78,72,55,34,F. Rodríguez
9,70,50,79,64,80,66,26,M. A. Ponce
10,70,43,70,64,85,72,29,P. Aguilar
11,80,48,60,75,84,66,27,J. J. Vázquez
12,78,65,74,69,75,77,25,Herrera
13,84,70,74,67,74,80,25,J. Dos Santos
14,81,65,72,66,82,81,29,A. Guardado
15,75,68,73,56,82,83,25,J. Aquino
16,76,66,75,61,71,74,26,Marco Fabián
17,74,66,74,56,77,74,21,A. González
18,83,71,73,53,81,83,22,J. M. Corona
19,66,80,68,44,85,87,26,G. Dos Santos
20,77,78,74,58,83,85,26,C. Vela
21,76,78,76,52,77,72,24,R. Jiménez
22,72,85,74,55,83,73,27,J. Hernández
23,72,78,80,50,77,73,31,Peralta
,72,62.26086957,74.52173913,64.95652174,77.43478261,70.95652174,27.26086957,
