,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,56,40,72,72,70,51,34,Penedo
2,63,40,74,70,68,60,30,J. Calderón
3,55,40,73,70,72,58,23,L. Mejía
4,60,55,85,70,68,50,23,H. Cummings
5,58,57,92,76,62,56,29,R. Torres
6,60,43,74,65,72,55,24,E. Davis
7,65,44,69,65,77,62,25,C. Rodríguez
8,65,52,73,68,75,62,35,L. Henríguez
9,62,58,71,62,76,60,27,L. Ovalle
10,57,55,70,60,80,56,33,Parris
11,67,55,78,70,69,68,31,G. Gómez
12,70,63,69,68,65,66,32,A. Henríguez
13,64,51,72,62,68,62,25,A. Godoy
14,64,65,59,58,75,69,26,M. Sánchez
15,63,56,66,50,78,66,28,A. Cooper
16,65,61,71,52,77,67,28,Quintero
17,68,60,71,52,79,74,28,Barahona
18,69,55,76,42,70,72,29,Bonaga
19,67,69,73,59,69,67,34,R. Escobar
20,65,67,70,42,79,70,27,G. Torres
21,64,72,72,51,70,70,34,B. Pérez
22,63,66,81,47,78,63,25,Blackburn
23,71,77,80,40,71,75,33,L. Tejada
,63.52173913,56.56521739,73.52173913,59.60869565,72.52173913,63.43478261,28.82608696,
