,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,54,45,82,70,68,53,30,R. Fernández
2,59,44,80,56,71,53,25,P. Gallese
3,49,40,80,76,67,46,33,G. Forsyth
4,63,56,76,68,74,57,23,R. K. Aparicio
5,68,57,74,70,72,61,24,H. Riojas
6,68,57,74,70,72,61,23,A. Callens
7,69,60,81,75,75,65,26,C. Zambrano
8,68,66,80,76,75,64,31,A. Rodríguez
9,69,65,70,63,78,65,25,Y. Yotún
10,77,69,80,67,72,76,31,R. Cruzado
11,68,60,64,63,66,65,20,R. Tapia
12,70,80,77,70,80,69,23,A. Ascues
13,75,68,79,65,78,75,32,J. M. Vargas
14,79,66,76,44,77,81,23,C. Gonzáles
15,73,71,72,60,74,77,31,L. Ramírez
16,76,75,84,56,86,82,31,J. Farfán
17,67,62,79,66,83,72,25,L. Advíncula
18,70,70,71,49,89,82,24,Carrillo D.
19,79,74,62,50,76,79,21,C. Benavente
20,63,75,69,52,82,75,25,P. Hurtado
21,68,70,73,40,80,74,22,Y. Reyna
22,75,80,84,50,74,78,31,P. Guerrero
23,73,84,79,54,69,83,37,C. Pizarro
,68.69565217,64.95652174,75.91304348,61.30434783,75.56521739,69.26086957,26.7826087,
