,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,50,42,87,58,52,44,25,W. SzczÄ?sny
2,47,44,79,58,57,45,35,A. Boruc
3,66,49,88,69,77,65,30,L. FabiaÅ?ski
4,63,54,82,74,76,58,29,T. Cionek
5,68,57,85,70,69,55,31,L. Szukala
6,71,58,84,62,67,63,30,T. JodÅ?owiec
7,69,65,84,83,76,69,27,K. Glik
8,66,50,81,65,70,65,32,J. Wawrzyniak
9,68,56,77,68,73,60,28,JÄ?drzejczyk
10,69,51,76,71,90,71,25,P. Olkowski
11,76,64,76,70,84,75,30,L. Piszczek
12,71,61,71,64,68,61,28,K. MÄ?czyÅ?ski
13,80,74,85,85,77,66,25,G. Krychowiak
14,65,66,72,65,79,63,20,Linetty
15,76,72,75,68,72,74,24,A. Borysiuk
16,68,66,65,69,67,68,30,S. Peszko
17,69,75,76,50,83,75,26,M. Rybus
18,80,71,77,54,89,84,30,BÅ?aszczykowski
19,77,69,69,56,66,64,33,S. Mila
20,78,68,72,54,77,80,21,P. ZieliÅ?ski
21,73,69,71,54,88,78,27,K. Grosicki
22,71,77,84,47,73,68,21,A. Milik
23,79,91,87,53,81,85,27,R. Lewandowski
,69.56521739,63,78.39130435,63.7826087,74.39130435,66.7826087,27.56521739,
