,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,51,45,86,65,69,58,27,Rui Patrício
2,64,45,85,71,70,61,25,A. Lopes
3,55,45,82,71,69,53,27,Ventura
4,68,50,86,82,65,60,34,B. Alves
5,74,55,87,83,72,66,32,J. Fonte
6,81,61,76,89,68,79,37,R. Carvalho
7,74,69,77,82,81,79,27,F. Coentrão
8,75,75,71,74,81,87,29,Vieirinha
9,73,69,71,69,81,76,24,Cédric
10,82,67,77,76,70,75,29,Miguel
11,76,65,82,70,80,77,24,Danilo
12,84,75,77,66,75,82,29,J. Moutinho
13,80,72,73,65,75,78,26,Adrien
14,76,73,67,67,75,73,26,A. André
15,85,76,77,75,71,74,34,Tiago
16,73,66,77,74,84,72,32,Eliseu
17,74,80,73,50,86,87,32,Danny
18,81,70,72,66,74,78,22,João Mário
19,82,92,87,57,93,82,30,C. Ronaldo
20,63,81,71,75,77,69,21,B. Silva
21,79,75,74,57,84,87,29,Nani
22,76,70,80,49,83,88,32,Quaresma
23,72,75,87,45,90,73,28,�?der
,73.82608696,67.43478261,78.04347826,68.60869565,77.08695652,74.52173913,28.52173913,
