,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,57,40,84,67,73,50,29,I. Akinfeev
2,56,45,81,69,67,50,25,Y. Lodygin
3,56,45,83,68,67,53,31,Rebrov
4,70,51,87,79,59,48,36,S. Ignashevich
5,68,63,86,76,71,62,33,A. Berezutski
6,71,51,89,85,69,46,33,V. Berezutski
7,68,52,75,69,83,66,24,G. Shcennikov
8,68,78,70,66,72,68,34,Kuzmin
9,71,50,72,75,81,64,27,I. Smolnikov
10,80,68,74,83,76,75,31,I. Denisov
11,78,63,71,68,76,76,27,Mamaev
12,74,62,72,70,70,70,28,D. Glushakov
13,85,78,75,67,67,72,34,R. Shirokov
14,81,63,78,54,77,82,25,O. Shatov
15,79,71,73,65,86,83,25,D. Cheryshev
16,80,69,76,71,80,78,32,Y. Zhirkov
17,72,68,71,68,79,69,28,D. Kombarov
18,79,71,72,52,82,81,31,A. Samedov
19,75,73,74,54,77,81,26,Ionov
20,81,80,78,50,78,80,25,A. Dzagoev
21,76,81,76,51,84,77,24,A. Kokorin
22,68,72,83,49,83,73,25,F. Smolov
23,75,83,84,52,75,70,27,A. Dzyuba
,72.52173913,64.2173913,77.56521739,65.56521739,75.30434783,68.43478261,28.69565217,
