,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,54,40,85,71,52,54,29,W. Abdullah
2,55,45,82,70,78,54,23,Al Sdairy
3,56,45,69,70,72,53,25,A. Al Enezi
4,60,60,82,73,75,64,31,O. Hawsawi
5,57,40,84,69,70,48,30,O. Hawsawi
6,65,44,70,69,70,58,23,M. Hawsawi
7,60,54,77,72,64,58,31,M. Al Marshadi
8,58,43,78,68,70,60,28,Alzori
9,58,45,72,61,78,60,24,Al Muwallad
10,62,42,70,68,77,60,29,H. Fallatha
11,68,48,70,60,90,73,23,Al Shahrani
12,76,55,82,72,68,60,35,Khariri
13,71,63,74,65,75,73,26,S. M. Al Faraj
14,69,47,72,69,73,66,26,Bakshwn
15,77,59,66,67,74,70,25,I. Ghaleb
16,66,70,69,47,85,70,25,N. Al Abed
17,78,65,66,63,74,74,31,T. Al Jassam
18,62,65,60,51,90,77,24,S. Al Dossari
19,65,68,75,62,80,70,22,M. Al-Bassas
20,75,68,71,48,85,76,25,Y. Al-Shehri
21,62,62,59,46,93,68,21,Al Muwallad
22,66,73,75,45,76,68,27,N. Hazazi
23,68,80,68,48,76,70,28,M. Al-Sahlawi
,64.69565217,55.69565217,72.86956522,62.34782609,75.86956522,64.52173913,26.56521739,
