,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,54,45,72,56,59,49,33,Coundoul
2,50,45,72,56,67,50,26,L. Gomis
3,57,45,72,56,63,54,22,P. Camara
4,65,53,75,76,75,63,26,A. Bonissel
5,74,70,83,78,77,76,27,P. Djilobodji
6,69,66,83,77,79,69,28,L. Sané
7,60,57,81,72,76,59,26,Z. Touré
8,70,56,78,76,78,74,27,C. M'Bengue
9,74,61,66,70,76,72,25,P. Souaré
10,71,63,68,70,80,73,25,S. Sané
11,70,61,74,74,82,75,26,L. Gassama
12,68,60,96,84,78,70,25,A. N'Diaye
13,73,57,89,78,84,67,26,C. Kouyaté
14,75,59,81,78,69,70,29,P. Diop
15,71,69,73,58,72,72,25,C. Atkine
16,80,67,77,82,74,74,26,I. Guèye
17,76,72,75,60,77,78,23,S. Mané
18,65,71,79,56,77,73,22,M. Konaté
19,71,72,77,55,73,78,25,H. Saivet
20,70,80,82,59,83,76,29,Sow
21,68,82,79,50,88,75,28,M. B. Diouf
22,70,75,85,53,85,71,30,D. N'Doye
23,73,77,83,57,77,74,30,P. Cisse
,68.43478261,63.60869565,78.26086957,66.56521739,76.04347826,69.2173913,26.47826087,
