,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,58,45,82,64,68,53,32,V. StojkoviÄ?
2,63,40,74,67,68,60,20,P. RajkoviÄ?
3,62,55,78,56,65,55,29,Z. BrkiÄ?
4,77,61,85,84,74,67,32,M. BiÅ¡evac
5,69,50,83,77,74,51,22,M. NastasiÄ?
6,67,57,83,75,71,64,25,S. MitroviÄ?
7,67,56,86,78,71,68,24,N. MaksimoviÄ?
8,65,59,77,70,72,67,30,D. ToÅ¡iÄ?
9,77,62,83,70,70,76,30,A. Kolarov
10,70,60,74,75,76,66,31,A. Rukavina
11,72,60,84,85,78,70,31,B. IvanoviÄ?
12,74,54,80,76,77,66,28,N. TomoviÄ?
13,85,62,87,86,74,80,27,N. MatiÄ?
14,77,74,78,73,70,76,24,N. Gudelj
15,76,74,74,58,76,75,23,M. JojiÄ?
16,76,70,82,74,72,74,28,Z. KuzmanoviÄ?
17,76,75,75,45,86,87,28,Z. ToÅ¡iÄ?
18,78,69,58,50,88,87,21,L. MarkoviÄ?
19,82,68,77,49,74,83,27,D. TadiÄ?
20,75,68,80,45,76,83,23,F. DuriciÄ?
21,72,84,85,46,74,72,28,F. DjordjeviÄ?
22,70,79,83,41,75,77,32,D. LazoviÄ?
23,70,81,83,49,76,74,21,A. MitroviÄ?
,72.08695652,63.60869565,79.60869565,64.91304348,74.13043478,70.91304348,26.7826087,
