,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,70,56,86,69,71,64,34,I. Casillas
2,67,45,75,56,72,62,25,D. de Gea
3,67,53,75,63,62,54,22,S. Rico
4,84,68,89,91,69,70,28,G. Piqué
5,88,62,79,81,71,69,24,M. Bartra
6,76,60,86,85,81,69,29,S. Ramos
7,80,64,77,83,85,74,26,C. Azpilicueta
8,81,73,65,66,82,86,22,J. Bernat
9,78,73,70,76,92,80,26,J. Alba
10,79,63,74,79,84,82,30,Juanfran
11,80,56,76,83,83,84,23,D. Carvajal
12,91,62,78,90,64,80,27,S. Busquets
13,93,73,86,57,75,92,31,A. Iniesta
14,92,75,76,69,72,83,28,C. Fàbregas
15,86,74,82,53,78,91,23,Isco
16,82,73,86,63,82,82,26,Vitolo
17,88,71,81,64,77,83,23,Koke
18,87,78,60,54,67,86,27,J. Mata
19,88,79,61,54,69,89,31,Santi Cazorla
20,93,77,81,44,76,90,29,D. Silva
21,83,80,83,50,84,84,28,Pedro Rodriguez
22,73,80,81,54,86,82,23,A. Morata
23,75,82,80,47,75,75,22,P. Alcácer
,81.7826087,68.56521739,77.69565217,66.56521739,76.39130435,78.73913043,26.39130435,
