,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,55,48,83,60,65,50,34,A. Isaksson
2,67,43,80,62,74,52,26,K. Nordfeldt
3,52,44,77,71,54,49,25,R. Olsen
4,65,55,86,79,72,54,34,M. Antonsson
5,70,52,88,80,60,46,30,A. Granqvist
6,70,80,80,71,73,73,23,A. MiloÅ¡eviÄ?
7,60,46,83,72,62,49,27,E. Johansson
8,70,67,75,58,74,75,27,P. Bengtsson
9,70,59,77,69,85,69,27,M. Olsson
10,63,53,62,63,81,66,24,A. Tinnerholm
11,73,59,76,69,74,68,23,O. Lewicki
12,74,71,72,64,69,71,30,S. Larsson
13,77,64,75,72,72,75,26,A. Ekdal
14,82,73,74,68,67,73,33,K. KÃ¤llstrÃ¶m
15,79,66,84,82,60,67,29,P. Wernbloom
16,77,65,64,58,73,72,23,A. Khalili
17,69,66,63,54,75,78,24,E. Forsberg
18,71,69,68,58,76,81,30,Erkan Zengin
19,72,64,71,43,83,78,26,Jimmy Durmaz
20,90,89,97,48,77,89,34,Z. IbrahimoviÄ?
21,64,75,87,52,70,56,23,I. Kiese Thelin
22,68,78,72,66,65,74,29,M. Berg
23,77,80,86,56,77,74,29,O. Toivonen
,70.2173913,63.73913043,77.39130435,64.13043478,71.2173913,66.91304348,27.65217391,
