,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,55,45,83,84,70,54,27,Y. Sommer
2,62,56,79,66,58,50,28,Hitz
3,62,44,84,70,63,51,25,R. BÃ¼rki
4,67,54,78,78,72,65,27,T. Klose
5,66,52,82,74,75,53,32,S. Von Bergen
6,72,59,82,79,77,65,28,J. Djourou
7,70,65,82,80,77,70,24,F. SchÃ¤r
8,72,67,79,64,74,70,25,J. F. Moubandje
9,80,67,82,76,73,79,23,R. RodrÃ­guez
10,70,70,82,76,85,73,31,S. Lichtsteiner
11,73,63,79,68,81,74,22,S. Widmer
12,79,75,83,71,72,73,31,G. Inler
13,84,75,80,71,64,79,23,G. Xhaka
14,74,69,82,84,82,78,30,V. Behrami
15,78,75,77,69,71,74,29,B. Dzemaili
16,79,55,73,80,70,68,27,F. Lustenberger
17,77,75,75,57,82,81,26,V. Stocker
18,81,72,80,58,84,84,24,X. Shaqiri
19,81,70,85,68,73,75,23,P. Kasami
20,75,72,77,50,75,82,24,A. Mehmedi
21,73,74,80,54,86,76,18,B. Embolo
22,73,77,83,54,75,73,23,H. SeferoviÄ?
23,74,83,78,53,80,76,23,J. DrmiÄ?
,72.91304348,65.82608696,80.2173913,68.86956522,74.73913043,70.56521739,25.7826087,
