,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,54,45,74,56,69,53,26,Ben Mustapha
2,52,45,73,56,65,51,31,Mathlouthi
3,53,45,71,56,67,52,24,Ben Cherifia
4,69,54,72,71,72,58,26,S. Ben Youssef
5,71,57,75,80,77,68,26,A. Abdennour
6,64,57,69,71,71,60,28,B. Mohsni
7,67,57,72,70,69,60,25,J. Sidique
8,67,57,72,70,72,61,25,M. Yaakoubi
9,66,57,65,65,70,65,25,G. Yasin
10,63,51,71,68,70,63,26,S. Ben Djemia
11,65,57,67,67,73,66,23,S. Brahim
12,67,61,72,68,70,65,32,Ragued
13,71,67,72,67,72,68,23,F. Sassi
14,69,63,71,67,70,64,31,R. Ahmad
15,82,63,76,79,72,76,28,J. Saïhi
16,75,73,67,42,78,77,29,Chikhaoui
17,71,67,65,49,73,73,25,Y. Msakni
18,71,64,64,58,72,71,24,R. Bashir
19,82,76,79,54,76,81,24,W. Khazri
20,66,66,65,56,75,69,21,H. Abdal
21,68,76,80,50,79,68,29,Hamza Y.
22,69,71,66,40,75,69,28,Chermiti
23,66,70,73,56,71,65,26,A. Akaïchi
,67.30434783,60.82608696,70.91304348,61.56521739,72.08695652,65.34782609,26.30434783,
