,Passing,Shoot,Physic,Defence,Speed,Dribbling,Age,Name
1,66,45,82,77,72,59,29,Muslera
2,50,40,79,70,62,53,32,M. Silva
3,73,56,82,85,75,64,20,J. Giménez
4,79,64,85,92,72,67,29,D. Godín
5,71,65,78,79,79,70,28,M. Cáceres
6,70,58,79,80,71,65,21,E. Velázquez
7,73,64,89,81,70,70,25,S. Coates
8,72,61,77,68,80,77,30,�?. Pereira
9,74,42,75,77,75,73,31,J. Fucile
10,78,66,79,76,72,76,31,Maxi
11,75,61,80,76,75,69,31,W. Gargano
12,68,60,85,82,70,70,33,E. Ríos
13,75,66,77,73,78,77,31,�?. González
14,74,70,62,49,77,85,21,de Arrascaeta
15,76,69,73,43,74,84,26,N. Lodeiro
16,77,77,77,60,79,85,25,G. Ramírez
17,77,73,78,55,80,81,30,C. Rodríguez
18,74,72,73,61,79,77,22,D. Rolán
19,72,75,80,50,93,78,25,A. Hernández
20,82,91,76,65,79,86,28,L. Suárez
21,70,75,70,49,75,76,22,J. Rodríguez
22,76,88,86,65,85,83,28,E. Cavani
23,69,82,77,49,71,68,29,C. Stuani
,72.65217391,66.08695652,78.2173913,67.91304348,75.7826087,73.60869565,27.26086957,
