home_team,away_team,home_score,away_score,Hasil,HTRF,THFP,PHPAR,PHSPAR,PHPSAR,PHDAR,PHTSA,PHDBAR,PHAAR,ATRF,TAFP,PAPAR,PASPAR,PAPSAR,PADAR,PATSA,PADBAR,PAAAR
Greece,Korea Republic,1,1,Draw,18,3,73,66,79,62,76,74,28,56,9,72,67,78,62,77,73,26
Nigeria,Ghana,1,0,Home_win,33,5,70,64,80,61,81,74,25,23,3,71,66,80,63,81,74,25
Cameroon,Ivory Coast,1,1,Draw,59,7,69,64,81,63,81,74,26,17,3,72,65,80,62,80,73,27
Nigeria,Ivory Coast,0,1,Away_win,33,5,70,64,80,61,81,74,25,17,3,72,65,80,62,80,73,27
USA,Japan,3,2,Home_win,31,10,70,66,80,62,77,72,27,44,5,72,66,74,63,73,72,27
Costa Rica,Korea Republic,1,0,Home_win,13,4,66,60,76,57,74,67,27,56,9,72,67,78,62,77,73,26
Mexico,Korea Republic,0,1,Away_win,24,15,71,64,75,62,76,72,27,56,9,72,67,78,62,77,73,26
Bosnia-Herzegovina,Japan,2,2,Draw,16,1,73,66,79,61,77,75,27,44,5,72,66,74,63,73,72,27
England,Uruguay,2,1,Home_win,10,14,75,68,81,64,79,76,26,6,12,72,66,80,65,77,74,28
Iran,Costa Rica,3,2,Home_win,49,4,67,60,75,58,72,67,28,13,4,66,60,76,57,74,67,27
Italy,Germany,4,1,Home_win,9,18,76,68,81,66,77,75,27,2,18,76,69,81,67,77,76,26
Mexico,Ghana,1,0,Home_win,24,15,71,64,75,62,76,72,27,23,3,71,66,80,63,81,74,25
Netherlands,Ecuador,1,0,Home_win,8,10,74,68,80,63,78,75,26,22,3,70,65,77,57,80,75,27
Russia,Brazil,0,1,Away_win,19,10,71,64,76,62,77,75,27,11,20,76,70,80,65,79,79,28
Spain,Ivory Coast,3,2,Home_win,1,14,81,71,79,67,78,82,28,17,3,72,65,80,62,80,73,27
Germany,USA,4,1,Home_win,2,18,76,69,81,67,77,76,26,31,10,70,66,80,62,77,72,27
Japan,Ecuador,1,0,Home_win,44,5,72,66,74,63,73,72,27,22,3,70,65,77,57,80,75,27
Colombia,Ecuador,1,1,Draw,4,5,73,67,80,63,79,75,27,22,3,70,65,77,57,80,75,27
Australia,Greece,1,0,Home_win,57,4,71,64,78,62,76,71,26,18,3,73,66,79,62,76,74,28
Korea Republic,Bosnia-Herzegovina,2,0,Home_win,56,9,72,67,78,62,77,73,26,16,1,73,66,79,61,77,75,27
France,Mexico,1,0,Home_win,21,14,76,69,80,68,81,76,26,24,15,71,64,75,62,76,72,27
Netherlands,Cameroon,1,0,Home_win,8,10,74,68,80,63,78,75,26,59,7,69,64,81,63,81,74,26
Spain,Russia,0,0,Draw,1,14,81,71,79,67,78,82,28,19,10,71,64,76,62,77,75,27
Switzerland,Ivory Coast,1,1,Draw,7,10,72,66,80,65,78,74,26,17,3,72,65,80,62,80,73,27
Chile,Ivory Coast,1,1,Draw,12,9,73,68,76,64,77,75,28,17,3,72,65,80,62,80,73,27
Germany,Japan,2,2,Draw,2,18,76,69,81,67,77,76,26,44,5,72,66,74,63,73,72,27
Iran,Bosnia-Herzegovina,5,2,Home_win,49,4,67,60,75,58,72,67,28,16,1,73,66,79,61,77,75,27
Switzerland,Italy,1,1,Draw,7,10,72,66,80,65,78,74,26,9,18,76,68,81,66,77,75,27
Netherlands,Mexico,2,1,Home_win,8,10,74,68,80,63,78,75,26,24,15,71,64,75,62,76,72,27
Germany,Colombia,3,0,Home_win,2,18,76,69,81,67,77,76,26,4,5,73,67,80,63,79,75,27
Ghana,Korea Republic,3,1,Home_win,23,3,71,66,80,63,81,74,25,56,9,72,67,78,62,77,73,26
Netherlands,Australia,1,1,Draw,8,10,74,68,80,63,78,75,26,57,4,71,64,78,62,76,71,26
Germany,Costa Rica,4,2,Home_win,2,18,76,69,81,67,77,76,26,13,4,66,60,76,57,74,67,27
Argentina,Ivory Coast,2,1,Home_win,3,16,76,66,81,65,76,74,29,17,3,72,65,80,62,80,73,27
Mexico,Iran,3,1,Home_win,24,15,71,64,75,62,76,72,27,49,4,67,60,75,58,72,67,28
Australia,Japan,3,1,Home_win,57,4,71,64,78,62,76,71,26,44,5,72,66,74,63,73,72,27
Italy,Ghana,2,0,Home_win,9,18,76,68,81,66,77,75,27,23,3,71,66,80,63,81,74,25
France,Switzerland,0,0,Draw,21,14,76,69,80,68,81,76,26,7,10,72,66,80,65,78,74,26
Netherlands,Ivory Coast,2,1,Home_win,8,10,74,68,80,63,78,75,26,17,3,72,65,80,62,80,73,27
Italy,USA,1,1,Draw,9,18,76,68,81,66,77,75,27,31,10,70,66,80,62,77,72,27
Portugal,Iran,2,0,Home_win,14,6,75,70,80,63,78,78,28,49,4,67,60,75,58,72,67,28
Brazil,Australia,2,0,Home_win,11,20,76,70,80,65,79,79,28,57,4,71,64,78,62,76,71,26
France,Korea Republic,1,1,Draw,21,14,76,69,80,68,81,76,26,56,9,72,67,78,62,77,73,26
Netherlands,Argentina,0,0,Draw,8,10,74,68,80,63,78,75,26,3,16,76,66,81,65,76,74,29
Portugal,Mexico,2,1,Home_win,14,6,75,70,80,63,78,78,28,24,15,71,64,75,62,76,72,27
Ghana,USA,2,1,Home_win,23,3,71,66,80,63,81,74,25,31,10,70,66,80,62,77,72,27
Japan,Brazil,1,4,Away_win,44,5,72,66,74,63,73,72,27,11,20,76,70,80,65,79,79,28
Switzerland,Korea Republic,2,0,Home_win,7,10,72,66,80,65,78,74,26,56,9,72,67,78,62,77,73,26
Argentina,Mexico,2,1,Home_win,3,16,76,66,81,65,76,74,29,24,15,71,64,75,62,76,72,27
England,Ecuador,1,0,Home_win,10,14,75,68,81,64,79,76,26,22,3,70,65,77,57,80,75,27
Portugal,Netherlands,1,0,Home_win,14,6,75,70,80,63,78,78,28,8,10,74,68,80,63,78,75,26
Italy,Australia,1,0,Home_win,9,18,76,68,81,66,77,75,27,57,4,71,64,78,62,76,71,26
Brazil,Ghana,3,0,Home_win,11,20,76,70,80,65,79,79,28,23,3,71,66,80,63,81,74,25
Spain,France,1,3,Away_win,1,14,81,71,79,67,78,82,28,21,14,76,69,80,68,81,76,26
Germany,Argentina,1,1,Draw,2,18,76,69,81,67,77,76,26,3,16,76,66,81,65,76,74,29
Brazil,France,0,1,Away_win,11,20,76,70,80,65,79,79,28,21,14,76,69,80,68,81,76,26
England,Portugal,0,0,Draw,10,14,75,68,81,64,79,76,26,14,6,75,70,80,63,78,78,28
Germany,Italy,0,2,Away_win,2,18,76,69,81,67,77,76,26,9,18,76,68,81,66,77,75,27
Portugal,France,0,1,Away_win,14,6,75,70,80,63,78,78,28,21,14,76,69,80,68,81,76,26
Germany,Portugal,3,1,Home_win,2,18,76,69,81,67,77,76,26,14,6,75,70,80,63,78,78,28
Italy,France,1,1,Draw,9,18,76,68,81,66,77,75,27,21,14,76,69,80,68,81,76,26
Bosnia-Herzegovina,France,1,2,Away_win,16,1,73,66,79,61,77,75,27,21,14,76,69,80,68,81,76,26
Chile,Colombia,1,2,Away_win,12,9,73,68,76,64,77,75,28,4,5,73,67,80,63,79,75,27
England,Greece,4,0,Home_win,10,14,75,68,81,64,79,76,26,18,3,73,66,79,62,76,74,28
Korea Republic,Iran,1,1,Draw,56,9,72,67,78,62,77,73,26,49,4,67,60,75,58,72,67,28
Argentina,Brazil,0,3,Away_win,3,16,76,66,81,65,76,74,29,11,20,76,70,80,65,79,79,28
France,Italy,3,1,Home_win,21,14,76,69,80,68,81,76,26,9,18,76,68,81,66,77,75,27
Switzerland,Costa Rica,2,0,Home_win,7,10,72,66,80,65,78,74,26,13,4,66,60,76,57,74,67,27
Japan,Ghana,0,1,Away_win,44,5,72,66,74,63,73,72,27,23,3,71,66,80,63,81,74,25
Korea Republic,Ghana,1,3,Away_win,56,9,72,67,78,62,77,73,26,23,3,71,66,80,63,81,74,25
Brazil,Ecuador,2,1,Home_win,11,20,76,70,80,65,79,79,28,22,3,70,65,77,57,80,75,27
Bosnia-Herzegovina,Greece,0,4,Away_win,16,1,73,66,79,61,77,75,27,18,3,73,66,79,62,76,74,28
Spain,Argentina,2,1,Home_win,1,14,81,71,79,67,78,82,28,3,16,76,66,81,65,76,74,29
Australia,Ghana,1,1,Draw,57,4,71,64,78,62,76,71,26,23,3,71,66,80,63,81,74,25
France,Greece,1,0,Home_win,21,14,76,69,80,68,81,76,26,18,3,73,66,79,62,76,74,28
